run_root,run_id,mode,family,model,condition,slice,available_rows,selected_rows
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_docs,safe_ctx_safe,931,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_docs,safe_ctx_unsafe_actionable,136,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_docs,safe_ctx_unsafe_non_actionable,1,1
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_docs,unsafe_ctx_safe,49,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_docs,unsafe_ctx_unsafe_actionable,80,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_docs,unsafe_ctx_unsafe_non_actionable,3,3
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_llm,safe_ctx_safe,935,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_llm,safe_ctx_unsafe_actionable,129,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_llm,safe_ctx_unsafe_non_actionable,4,4
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_llm,unsafe_ctx_safe,47,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_llm,unsafe_ctx_unsafe_actionable,79,5
safety_deepseek_qwen15b_A,20260325T034545Z_77bd45fa,deepseek_qwen15b_A_baseline,deepseek,DeepSeek-R1D-Qwen-1.5B,rag_llm,unsafe_ctx_unsafe_non_actionable,6,5
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_docs,safe_ctx_safe,1063,5
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_docs,safe_ctx_unsafe_actionable,3,3
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_docs,safe_ctx_unsafe_non_actionable,1,1
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_docs,unsafe_ctx_safe,132,5
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_docs,unsafe_ctx_unsafe_non_actionable,1,1
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_llm,safe_ctx_safe,1063,5
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_llm,safe_ctx_unsafe_actionable,2,2
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_llm,safe_ctx_unsafe_non_actionable,2,2
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_llm,unsafe_ctx_safe,130,5
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_llm,unsafe_ctx_unsafe_actionable,1,1
safety_llama31_8b_A,20260323T033415Z_ae1d0bff,llama31_8b_A_baseline,llama,Llama-3.1-8B-Instruct,rag_llm,unsafe_ctx_unsafe_non_actionable,2,2
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_docs,safe_ctx_safe,1066,5
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_docs,safe_ctx_unsafe_non_actionable,1,1
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_docs,unsafe_ctx_safe,132,5
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_docs,unsafe_ctx_unsafe_non_actionable,1,1
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_llm,safe_ctx_safe,1065,5
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_llm,safe_ctx_unsafe_actionable,1,1
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_llm,safe_ctx_unsafe_non_actionable,1,1
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_llm,unsafe_ctx_safe,132,5
safety_llama32_3b_A,20260323T033415Z_2b328b17,llama32_3b_A_baseline,llama,Llama-3.2-3B-Instruct,rag_llm,unsafe_ctx_unsafe_non_actionable,1,1
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_docs,safe_ctx_safe,972,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_docs,safe_ctx_unsafe_actionable,54,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_docs,safe_ctx_unsafe_non_actionable,41,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_docs,unsafe_ctx_safe,67,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_docs,unsafe_ctx_unsafe_actionable,38,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_docs,unsafe_ctx_unsafe_non_actionable,28,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_llm,safe_ctx_safe,978,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_llm,safe_ctx_unsafe_actionable,45,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_llm,safe_ctx_unsafe_non_actionable,44,5
safety_mistral_ab,20260321T030425Z_99c370fd,mistral_small_ab_A_baseline,mistral,Ministral-3B-Compat,rag_llm,unsafe_ctx_safe,63,5
